2020-04-17 14:30:01.279 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.279 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.279 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.281 [Thread-2] INFO  ServerWorker - New command ADD_IF_MIN from /127.0.0.1:65309.
2020-04-17 14:30:01.281 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.281 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.281 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.282 [Thread-2] INFO  ServerWorker - New command GROUP_COUNTING_BY_COORDINATES from /127.0.0.1:65309.
2020-04-17 14:30:01.283 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.283 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.283 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.284 [Thread-2] INFO  ServerWorker - New command GROUP_COUNTING_BY_COORDINATES from /127.0.0.1:65309.
2020-04-17 14:30:01.285 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.285 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.285 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.286 [Thread-2] INFO  ServerWorker - New command INFO from /127.0.0.1:65309.
2020-04-17 14:30:01.286 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.286 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.286 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.288 [Thread-2] INFO  ServerWorker - New command HELP from /127.0.0.1:65309.
2020-04-17 14:30:01.288 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.288 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.288 [Thread-2] INFO  Sender - Sending 1 packages.
